2013-10-07 17:21:00 INFO  DispatcherServlet:453 - FrameworkServlet 'mvc-dispatcher': initialization started
2013-10-07 17:21:01 INFO  XmlWebApplicationContext:510 - Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Mon Oct 07 17:21:01 EEST 2013]; root of context hierarchy
2013-10-07 17:21:01 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from ServletContext resource [/WEB-INF/mvc-dispatcher-servlet.xml]
2013-10-07 17:21:01 INFO  DefaultListableBeanFactory:577 - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@47813ee4: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2013-10-07 17:21:01 INFO  DispatcherServlet:472 - FrameworkServlet 'mvc-dispatcher': initialization completed in 417 ms
2013-10-07 17:21:01 WARN  PageNotFound:1108 - No mapping found for HTTP request with URI [/] in DispatcherServlet with name 'mvc-dispatcher'
2013-10-07 17:21:36 INFO  XmlWebApplicationContext:1042 - Closing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Mon Oct 07 17:21:01 EEST 2013]; root of context hierarchy
2013-10-07 17:21:36 INFO  DefaultListableBeanFactory:444 - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@47813ee4: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2013-10-07 17:21:41 INFO  DispatcherServlet:453 - FrameworkServlet 'mvc-dispatcher': initialization started
2013-10-07 17:21:41 INFO  XmlWebApplicationContext:510 - Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Mon Oct 07 17:21:41 EEST 2013]; root of context hierarchy
2013-10-07 17:21:41 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from ServletContext resource [/WEB-INF/mvc-dispatcher-servlet.xml]
